epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.757,0.3668,2.06101,1.08366,0.8953,0.96153,0.93731,0.8898,0.34422,1.62109,0.63087,0.000174561,0.000174561,0.000174561
2,201.868,0.24741,0.8474,0.98202,0.91402,0.96868,0.93984,0.8924,0.37825,1.3935,0.62692,0.000342966,0.000342966,0.000342966
3,299.669,0.24056,0.69598,0.96999,0.89687,0.98176,0.94914,0.91862,0.29644,1.06498,0.56935,0.000504429,0.000504429,0.000504429
4,399.244,0.21318,0.57168,0.94636,0.89474,0.95049,0.94638,0.91289,0.32377,1.01287,0.5552,0.000494756,0.000494756,0.000494756
5,498.554,0.20613,0.50965,0.94706,0.90751,0.98885,0.94242,0.90506,0.28571,0.8412,0.51017,0.000484341,0.000484341,0.000484341
6,599.021,0.1945,0.46725,0.94345,0.90916,0.97422,0.95007,0.91454,0.29238,0.7825,0.54648,0.000473926,0.000473926,0.000473926
7,701.226,0.17869,0.42146,0.93148,0.92123,0.98096,0.95452,0.92681,0.274,0.68902,0.51226,0.000463511,0.000463511,0.000463511
8,809.378,0.17763,0.39382,0.93369,0.89694,0.97924,0.94275,0.91276,0.30198,0.71562,0.51341,0.000453096,0.000453096,0.000453096
9,911.247,0.16798,0.3657,0.92668,0.91277,0.98906,0.95927,0.92877,0.25856,0.67868,0.48271,0.000442682,0.000442682,0.000442682
10,1015.5,0.1628,0.33846,0.92698,0.93514,0.97138,0.96161,0.93229,0.27567,0.56119,0.49944,0.000432267,0.000432267,0.000432267
11,1120.92,0.15946,0.32191,0.92127,0.91324,0.98253,0.96943,0.9414,0.26164,0.52402,0.49118,0.000421852,0.000421852,0.000421852
12,1224.77,0.15325,0.31158,0.91838,0.91844,0.98096,0.94865,0.92505,0.26729,0.56661,0.48753,0.000411437,0.000411437,0.000411437
13,1328.19,0.15314,0.30742,0.9213,0.93806,0.9811,0.97185,0.94621,0.29355,0.53405,0.52981,0.000401022,0.000401022,0.000401022
14,1430.34,0.15001,0.28459,0.91805,0.92044,0.97008,0.95736,0.93635,0.23693,0.43773,0.46188,0.000390608,0.000390608,0.000390608
15,1536.57,0.14578,0.27712,0.91884,0.92618,0.9546,0.96378,0.94434,0.26232,0.54296,0.48964,0.000380193,0.000380193,0.000380193
16,1642.49,0.14329,0.27153,0.91598,0.9184,0.98372,0.94997,0.93371,0.25477,0.44007,0.48954,0.000369778,0.000369778,0.000369778
17,1750.06,0.1375,0.26282,0.91367,0.93875,0.94814,0.95192,0.92918,0.24111,0.45662,0.47161,0.000359363,0.000359363,0.000359363
18,117.368,0.13276,0.25307,0.90977,0.9453,0.94534,0.96787,0.94856,0.24097,0.47155,0.4659,0.000348948,0.000348948,0.000348948
19,220.419,0.13441,0.24341,0.91535,0.95033,0.96746,0.97054,0.95407,0.21547,0.36392,0.43969,0.000338534,0.000338534,0.000338534
20,337.882,0.13443,0.24343,0.91578,0.9242,0.97784,0.96202,0.94459,0.26664,0.50501,0.50601,0.000328119,0.000328119,0.000328119
21,450.726,0.12309,0.22431,0.90297,0.93872,0.95058,0.96003,0.94124,0.25043,0.477,0.47862,0.000317704,0.000317704,0.000317704
22,562.606,0.12776,0.22549,0.91116,0.92641,0.9782,0.96199,0.94173,0.2508,0.4419,0.49187,0.000307289,0.000307289,0.000307289
23,686.339,0.12198,0.22246,0.90861,0.92012,0.97244,0.95693,0.93437,0.23201,0.40691,0.44731,0.000296874,0.000296874,0.000296874
24,801.854,0.11795,0.21444,0.90472,0.92518,0.9822,0.97515,0.95313,0.2473,0.44341,0.48979,0.00028646,0.00028646,0.00028646
25,925.904,0.12207,0.21482,0.91048,0.93259,0.98064,0.97168,0.95112,0.22936,0.39015,0.45997,0.000276045,0.000276045,0.000276045
26,1040.79,0.11466,0.20898,0.90374,0.92585,0.96962,0.97058,0.9536,0.2154,0.35516,0.43939,0.00026563,0.00026563,0.00026563
27,1158.77,0.11765,0.20258,0.9063,0.93915,0.96813,0.97203,0.95569,0.22608,0.38783,0.45173,0.000255215,0.000255215,0.000255215
28,1275.4,0.11719,0.20466,0.90323,0.94438,0.97193,0.97513,0.95998,0.22165,0.38686,0.44517,0.0002448,0.0002448,0.0002448
29,1394.08,0.10964,0.20186,0.9011,0.93448,0.97038,0.96653,0.94743,0.21408,0.37579,0.43048,0.000234386,0.000234386,0.000234386
30,1515.16,0.11116,0.20281,0.90387,0.92614,0.9781,0.96066,0.94481,0.22692,0.37163,0.45623,0.000223971,0.000223971,0.000223971
31,1632.63,0.10694,0.18673,0.90149,0.94086,0.97814,0.96981,0.94867,0.23995,0.40106,0.46786,0.000213556,0.000213556,0.000213556
32,1743.03,0.10453,0.18805,0.90131,0.93073,0.98036,0.96777,0.95053,0.23381,0.4142,0.46513,0.000203141,0.000203141,0.000203141
33,1858.99,0.10362,0.18368,0.90117,0.93505,0.98114,0.96409,0.94856,0.22863,0.3575,0.45124,0.000192726,0.000192726,0.000192726
34,1971.35,0.10157,0.18561,0.90037,0.93761,0.96745,0.96035,0.93956,0.20961,0.36689,0.43015,0.000182312,0.000182312,0.000182312
35,2083.66,0.10407,0.19172,0.90353,0.94875,0.96106,0.96517,0.94324,0.24522,0.38869,0.48515,0.000171897,0.000171897,0.000171897
36,2194.29,0.1026,0.18701,0.90188,0.95093,0.9718,0.97674,0.95679,0.20643,0.34066,0.43102,0.000161482,0.000161482,0.000161482
37,2297.2,0.10209,0.18773,0.90041,0.9497,0.97581,0.97001,0.95191,0.24264,0.36414,0.4641,0.000151067,0.000151067,0.000151067
38,2399.71,0.09761,0.17761,0.89926,0.94842,0.97611,0.96735,0.95142,0.21997,0.34696,0.44859,0.000140652,0.000140652,0.000140652
39,2502.51,0.09815,0.18141,0.89967,0.95388,0.97385,0.97773,0.96517,0.22365,0.3599,0.45381,0.000130238,0.000130238,0.000130238
40,2605.44,0.09391,0.17228,0.8936,0.95986,0.96852,0.9715,0.95649,0.21101,0.31849,0.43587,0.000119823,0.000119823,0.000119823
41,2757.68,0.09864,0.17364,0.90636,0.96262,0.97208,0.97594,0.96164,0.19828,0.34276,0.42283,0.000109408,0.000109408,0.000109408
42,2858.86,0.08942,0.14531,0.90391,0.96881,0.9617,0.97993,0.9665,0.19902,0.33614,0.41837,9.89932e-05,9.89932e-05,9.89932e-05
43,2959.85,0.08598,0.13969,0.90158,0.96755,0.97168,0.98014,0.96963,0.20283,0.34344,0.42456,8.85784e-05,8.85784e-05,8.85784e-05
44,3060.74,0.08316,0.1398,0.9005,0.95802,0.97359,0.97456,0.96358,0.21198,0.37592,0.43655,7.81636e-05,7.81636e-05,7.81636e-05
45,3161.68,0.08015,0.13424,0.8942,0.96627,0.97803,0.98021,0.96905,0.19337,0.35514,0.41695,6.77488e-05,6.77488e-05,6.77488e-05
46,3262.53,0.07633,0.12674,0.89029,0.96161,0.96662,0.97888,0.96701,0.19708,0.36093,0.42316,5.7334e-05,5.7334e-05,5.7334e-05
47,3364.67,0.07532,0.1271,0.89056,0.96516,0.97523,0.98078,0.97063,0.18216,0.32616,0.39964,4.69192e-05,4.69192e-05,4.69192e-05
48,3465.65,0.07121,0.12705,0.88824,0.96356,0.96609,0.97824,0.96789,0.17241,0.35684,0.38836,3.65044e-05,3.65044e-05,3.65044e-05
49,3566.88,0.0691,0.12054,0.88652,0.95378,0.96937,0.97625,0.96652,0.17079,0.33809,0.38734,2.60896e-05,2.60896e-05,2.60896e-05
50,3669.56,0.06621,0.11999,0.892,0.963,0.97393,0.98189,0.97182,0.17546,0.32996,0.39777,1.56748e-05,1.56748e-05,1.56748e-05
