Category,AE_AUROC,AE_AP,AE_F1,AE_Precision,AE_Recall,AE_Specificity,OCSVM_AUROC,OCSVM_AP,OCSVM_F1,OCSVM_Precision,OCSVM_Recall,OCSVM_Specificity,PC_AUROC,PC_AP,PC_F1,PC_Precision,PC_Recall,PC_Specificity,PC_Pixel_AUROC,PC_PRO
bottle,0.8675,0.9589,0.8037,0.9773,0.6825,0.9500,0.9865,0.9953,0.9841,0.9841,0.9841,0.9500,0.8738,0.9625,0.8224,1.0000,0.6984,1.0000,0.9151,0.6466
cable,0.5692,0.7136,0.5556,0.7692,0.4348,0.7931,0.7603,0.8530,0.7872,0.7708,0.8043,0.6207,0.4567,0.6015,0.1887,0.7143,0.1087,0.9310,0.7643,0.4522
capsule,0.5856,0.8810,0.3101,1.0000,0.1835,1.0000,0.7196,0.9324,0.5658,1.0000,0.3945,1.0000,0.6669,0.9009,0.7772,0.8929,0.6881,0.6087,0.9257,0.3523
carpet,0.4354,0.7223,0.6792,0.7714,0.6067,0.4286,0.7600,0.9194,0.7582,0.9062,0.6517,0.7857,0.3307,0.7231,0.1064,1.0000,0.0562,1.0000,0.8130,0.4510
grid,0.8672,0.9403,0.8929,0.9091,0.8772,0.7619,0.4887,0.7276,0.4156,0.8000,0.2807,0.8095,0.6884,0.8689,0.7273,0.8571,0.6316,0.7143,0.7423,0.3521
hazelnut,0.8975,0.9458,0.8636,0.9194,0.8143,0.8750,0.8596,0.9281,0.7652,0.9778,0.6286,0.9750,0.9643,0.9822,0.9489,0.9701,0.9286,0.9500,0.9691,0.6978
leather,0.5000,0.7887,0.2936,0.9412,0.1739,0.9688,0.8998,0.9663,0.8466,0.9718,0.7500,0.9375,0.9178,0.9735,0.9153,0.9529,0.8804,0.8750,0.9815,0.7803
metal_nut,0.5997,0.8709,0.9091,0.8571,0.9677,0.3182,0.8196,0.9536,0.7662,0.9672,0.6344,0.9091,0.5811,0.8460,0.8923,0.8529,0.9355,0.3182,0.8001,0.3842
pill,0.7188,0.9271,0.7436,0.9355,0.6170,0.7692,0.6658,0.9128,0.8308,0.9076,0.7660,0.5769,0.7782,0.9500,0.7934,0.9505,0.6809,0.8077,0.8575,0.4359
screw,0.6848,0.8756,0.4342,1.0000,0.2773,1.0000,0.4435,0.7334,0.2319,0.8421,0.1345,0.9268,0.6157,0.8092,0.7545,0.8218,0.6975,0.5610,0.9196,0.6689
tile,0.5022,0.7687,0.3462,0.9000,0.2143,0.9394,0.9354,0.9764,0.8649,1.0000,0.7619,1.0000,0.8232,0.9334,0.7660,0.9474,0.6429,0.9091,0.7011,0.0925
toothbrush,0.7722,0.8853,0.9032,0.8750,0.9333,0.6667,0.7861,0.9218,0.7234,1.0000,0.5667,1.0000,0.9000,0.9640,0.8679,1.0000,0.7667,1.0000,0.9298,0.6623
transistor,0.6071,0.6037,0.4839,0.6818,0.3750,0.8833,0.8838,0.8626,0.8000,0.8571,0.7500,0.9167,0.6825,0.6536,0.5789,0.6111,0.5500,0.7667,0.7470,0.5482
wood,0.9079,0.9719,0.8462,1.0000,0.7333,1.0000,0.9044,0.9729,0.8991,1.0000,0.8167,1.0000,0.9500,0.9838,0.9508,0.9355,0.9667,0.7895,0.8244,0.3269
zipper,0.5110,0.8170,0.4487,0.9459,0.2941,0.9375,0.8973,0.9693,0.8858,0.9700,0.8151,0.9062,0.8154,0.9027,0.8850,0.9346,0.8403,0.7812,0.9227,0.5888
